Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
-177,-71,-1.0083,-0.62,0.7319,-0.1246,0.2812,0.5644,0.9533,0.6506,0.1586,-0.1768,0.7425,0.3848,0.3513,0.5121,0.0299,1.128,1.0445,1.4021,1.2098,0.7471,0.7902
-177,19,-0.2902,-0.2341,0.0804,-0.4157,0.059,-0.0751,0.2195,-0.0689,-0.3546,0.2151,0.2552,-0.1998,0.3493,0.2671,0.3849,0.4278,0.2717,0.1458,0.2715,0.4898,0.5319
-177,-23,0.0653,-0.2052,-0.048,-0.3116,0.0865,-0.5251,0.39,0.04,-0.349,-0.2187,0.1701,0.3732,0.345,0.3216,0.3331,0.3981,0.4323,0.676,0.5504,0.1001,0.4964
-177,79,-0.0945,0.6779,0.5384,0.245,-0.0716,0.1666,0.8984,0.7838,0.7219,0.7505,1.1903,1.1555,0.3404,1.5319,1.4204,1.7285,1.0936,1.891,1.1835,2.3247,2.6147
-177,49,-0.0414,0.0126,0.2797,0.2245,0.4301,0.284,0.2377,0.5478,0.0923,0.4217,1.1219,0.2294,0.3381,0.3405,0.6032,0.5535,0.5606,0.486,0.4512,0.9658,0.4701
-177,-25,0.0356,-0.1769,-0.084,-0.266,-0.0333,-0.5209,0.3735,-0.0413,-0.3827,-0.2929,0.1783,0.5107,0.3262,0.2926,0.3298,0.2757,0.3699,0.707,0.4392,0.0988,0.57
-177,53,-0.2708,0.4643,0.2798,0.2014,0.3308,0.2223,0.2425,0.3702,0.1089,0.2968,0.9339,-0.3341,0.238,0.9126,1.1098,0.1385,-0.4217,-0.1523,-0.2788,1.3954,1.4813
-177,47,-0.2554,-0.2694,0.0571,0.0741,0.2848,-0.009,-0.0715,0.526,-0.0897,0.5533,1.1429,0.3019,0.2162,0.0424,0.5552,0.7251,0.8113,0.6462,0.8094,0.7806,0.16
-177,-65,0.5003,0.7579,0.8096,0.8632,0.5392,0.6951,0.5103,0.478,0.8139,0.5112,0.3102,0.0544,0.2102,0.495,0.4698,-0.0221,0.2117,0.2685,0.2593,0.1664,0.4132
-177,-63,0.5003,0.7579,0.8096,0.8632,0.5392,0.6951,0.5103,0.478,0.8139,0.5112,0.3102,0.0544,0.2102,0.495,0.4698,-0.0221,0.2117,0.2685,0.2593,0.1664,0.4132
-177,77,-0.109,0.7724,0.4195,0.2065,-0.059,0.1732,0.9795,1.0022,1.1077,0.4573,1.7241,1.1425,0.2004,1.8389,1.5489,1.8733,1.0449,1.7673,1.0675,2.4194,2.7044
-177,-9,0.0733,0.0025,0.3038,0.1316,0.0079,0.2111,-0.0968,0.4267,0.3531,0.6026,0.1903,-0.0541,0.1646,0.7626,0.5921,0.5423,0.1528,0.0489,0.3795,0.675,0.7869
-177,57,-0.159,0.4823,0.4542,0.3648,0.3185,0.4385,0.1319,0.2562,0.19,0.167,0.8141,-0.272,0.0962,0.764,0.8382,0.4703,0.1585,0.2905,0.0525,1.2449,1.2856
-177,7,0.02,0.2503,0.3492,0.2996,-0.0258,0.4859,0.085,0.7952,0.4606,0.5982,0.5315,-0.1268,0.0959,0.5953,0.6647,0.3614,0.1022,-0.0129,0.2201,0.8755,0.6647
-177,17,-0.2747,-0.3023,0.0156,-0.4165,-0.0635,-0.0567,0.1696,-0.0376,-0.3532,0.1812,0.2478,-0.3051,0.0707,0.2332,0.3538,0.2575,0.1399,0.0229,0.1346,0.4871,0.4482
-177,9,0.0232,0.1871,0.1216,0.1596,-0.035,0.3495,0.1247,0.601,0.2522,0.504,0.51,-0.1567,0.0666,0.4217,0.507,0.3188,0.0536,0.0277,0.1516,0.7404,0.6226
-177,-7,0.1277,0.0469,0.3049,0.2076,-0.0132,0.4379,-0.1242,0.529,0.4848,0.6814,0.2512,-0.0954,0.0438,0.8293,0.6417,0.5341,0.1005,-0.0985,0.3272,0.8202,0.768
-177,41,-0.4599,-0.2818,-0.3476,-0.2153,-0.4684,-0.9822,-0.2215,0.6643,-0.269,0.3202,-0.2233,0.0385,0.0267,0.0432,0.2634,0.7395,0.5655,0.8286,0.9639,0.0342,-0.0657
-177,5,0.0765,0.3171,0.5391,0.3797,-0.1469,0.613,-0.0708,0.9517,0.6527,0.6443,0.4906,-0.2677,0.0122,0.7899,0.797,0.3675,0.0861,-0.1626,0.2377,1.0252,0.5724
-177,55,-0.0853,0.2553,0.3139,0.2775,0.3525,0.3395,0.1528,0.2349,0.1493,0.2004,0.8232,-0.2029,-0.0163,0.6229,0.6837,0.4257,0.1132,0.2204,0.0752,1.0891,1.1384
